
--------------NEW TEST-----------------

HM125K:F34,I33,E33
6493172.500000,4959533.000000,4944738.000000,4953671.500000,4946570.000000,:0.001400,0.000850,0.001300,0.001300,0.000950,;5852508.000000,5910689.500000,5871559.500000,5868734.000000,5859810.000000,:0.000350,0.000250,0.000350,0.000300,0.000500,;6334707.000000,6335610.000000,6335613.000000,6342964.000000,6344523.000000,:0.000250,0.000300,0.000250,0.000100,0.000400,;10433839.000000,10429976.000000,10431662.000000,10432805.000000,10432587.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
8731619.000000,9423048.000000,9412957.000000,9433703.000000,9423250.000000,:0.003000,0.003550,0.003400,0.003325,0.002925,;11466383.000000,11463617.000000,11445740.000000,11470230.000000,11461190.000000,:0.001150,0.001000,0.001000,0.001150,0.001200,;12366299.000000,12322141.000000,12344117.000000,12361821.000000,12338186.000000,:0.000775,0.000650,0.000600,0.000775,0.000950,;20670552.000000,20638450.000000,20637172.000000,20645800.000000,20643670.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
17000530.000000,17715328.000000,17772214.000000,17841470.000000,17816186.000000,:0.007974,0.007612,0.007649,0.007574,0.007974,;21954896.000000,21875686.000000,22100032.000000,22000174.000000,22147676.000000,:0.002550,0.002450,0.002137,0.002162,0.002037,;22446844.000000,23432690.000000,21997978.000000,22036544.000000,22045886.000000,:0.002175,0.002025,0.002500,0.002225,0.002287,;39565180.000000,39496616.000000,39570072.000000,39578292.000000,39565572.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
22587464.000000,21471728.000000,21578348.000000,8542937.000000,21156476.000000,:0.012715,0.012607,0.012548,0.026668,0.012698,;25763616.000000,26344478.000000,26329706.000000,25468522.000000,25259108.000000,:0.003750,0.003925,0.003525,0.003683,0.003567,;23578420.000000,20804640.000000,23287006.000000,24624354.000000,25179758.000000,:0.003842,0.004316,0.004250,0.003983,0.003642,;51284464.000000,51238916.000000,51185368.000000,50977276.000000,51173144.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
26490840.000000,25580584.000000,26462200.000000,26417470.000000,27079798.000000,:0.018022,0.018647,0.018084,0.018003,0.017847,;32367018.000000,32222384.000000,32261962.000000,31902092.000000,28446340.000000,:0.005768,0.005575,0.005393,0.005356,0.006306,;32286286.000000,32894308.000000,31628642.000000,31342420.000000,31550906.000000,:0.005550,0.004906,0.005481,0.005612,0.005656,;65029284.000000,64749280.000000,64767364.000000,65012372.000000,64383468.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
5015815.000000,6297201.500000,24523288.000000,24712048.000000,26914648.000000,:0.004380,0.006480,0.021186,0.021250,0.022055,;33465250.000000,32011182.000000,33159854.000000,32928544.000000,32356436.000000,:0.005960,0.006175,0.005435,0.005295,0.005460,;35202152.000000,36306276.000000,33910092.000000,34235116.000000,33989740.000000,:0.006820,0.006310,0.006810,0.006770,0.006690,;78468296.000000,78479688.000000,78412920.000000,78445520.000000,78475072.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;


HM10K:F90,I5,E5
5313468.000000,5433896.500000,5473094.500000,5506214.000000,5523000.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5895844.000000,5987307.000000,6004888.000000,5963420.500000,5993730.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6058843.500000,6061267.500000,6061487.500000,6066599.000000,5962069.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;9113112.000000,9115106.000000,9115604.000000,9117100.000000,9121508.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
8516806.000000,8558430.000000,8581921.000000,8634723.000000,8663724.000000,:0.000500,0.000550,0.000400,0.000450,0.000600,;9982830.000000,10061526.000000,10088430.000000,10093720.000000,10109946.000000,:0.000250,0.000300,0.000100,0.000200,0.000100,;10229080.000000,10241075.000000,10220142.000000,10196590.000000,10257988.000000,:0.000200,0.000050,0.000200,0.000000,0.000350,;14994415.000000,14991829.000000,14990706.000000,14997338.000000,14991829.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
14358109.000000,14397194.000000,14485782.000000,14561399.000000,14612642.000000,:0.001000,0.000775,0.001175,0.000800,0.001250,;18352090.000000,18588570.000000,18730186.000000,18800968.000000,18807332.000000,:0.000575,0.000600,0.000575,0.000400,0.000700,;19815224.000000,19800314.000000,19830154.000000,19658048.000000,19636818.000000,:0.000525,0.000575,0.000650,0.000675,0.000425,;29614932.000000,29569614.000000,29603972.000000,29605506.000000,29610328.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
24163416.000000,24621108.000000,24785704.000000,24843918.000000,24884114.000000,:0.002162,0.002387,0.002287,0.002400,0.002187,;32595852.000000,33206320.000000,33865588.000000,33661676.000000,33928932.000000,:0.001187,0.000775,0.001062,0.000950,0.001112,;37719308.000000,38003488.000000,37572092.000000,37569796.000000,37528028.000000,:0.000875,0.000587,0.000950,0.000962,0.001050,;58367744.000000,58366044.000000,58348164.000000,58351992.000000,58364340.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
27535746.000000,28621046.000000,29581502.000000,30796996.000000,30481456.000000,:0.002775,0.003217,0.002842,0.003383,0.003183,;35253408.000000,38294756.000000,39327044.000000,38689876.000000,38889608.000000,:0.001592,0.001683,0.001500,0.001292,0.001275,;42144320.000000,42566228.000000,41762676.000000,42317604.000000,39183432.000000,:0.001108,0.001033,0.001408,0.001525,0.001400,;69642736.000000,67841840.000000,70026784.000000,70104920.000000,69358152.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
37315556.000000,38626092.000000,39577696.000000,38018816.000000,39309668.000000,:0.004212,0.003825,0.004087,0.004187,0.003912,;47929820.000000,51839260.000000,51417824.000000,51413060.000000,52264988.000000,:0.001831,0.002087,0.001725,0.001781,0.001700,;53603284.000000,55415464.000000,54335876.000000,54137680.000000,53790040.000000,:0.001681,0.001356,0.001894,0.001837,0.001712,;90310784.000000,88361176.000000,88233024.000000,88901240.000000,88390464.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
19653736.000000,27306720.000000,39151148.000000,39435088.000000,39143088.000000,:0.003670,0.005695,0.005340,0.005170,0.005510,;52125436.000000,50834160.000000,51337632.000000,51451500.000000,51567688.000000,:0.002410,0.002350,0.002095,0.002330,0.002205,;58495172.000000,58734672.000000,57394480.000000,57530696.000000,57260220.000000,:0.002515,0.001830,0.002515,0.002350,0.002430,;109384656.000000,109396624.000000,109464280.000000,109476264.000000,109269320.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;

